ID,latitude,longitude,UserAccessTime(min),UserAccessNum,worktime(min)
964,31.178962,121.388264,2464.733333333333,52,1216.7
965,31.179351,121.31286,896.2833333333333,12,628.0166666666667
966,31.17939,121.754087,13737.116666666667,301,7875.733333333334
967,31.179594,121.55951,133.58333333333334,5,133.58333333333334
968,31.179835,121.429502,91790.56666666667,618,11096.333333333334
969,31.180043,121.609028,735.85,31,453.45
970,31.180175,121.422303,41291.916666666664,403,7876.983333333334
971,31.18026,121.406339,20747.216666666667,284,5539.716666666666
972,31.180466,121.441251,31811.583333333332,497,7937.683333333333
973,31.180526,121.349428,187.15,7,187.15
974,31.180581,121.527653,405.4166666666667,38,263.3
975,31.180728,121.386832,12.966666666666667,2,6.483333333333333
976,31.180753,121.749174,15033.733333333334,234,4762.8
977,31.180763,121.476049,7757.516666666666,233,3328.616666666667
978,31.18078,121.423677,2017.8666666666666,38,1075.8666666666666
979,31.180824,121.525363,1114.0166666666667,50,723.25
980,31.180897,121.463904,14188.616666666667,333,4227.6
981,31.180994,121.377204,1043.5666666666666,9,1043.5666666666666
982,31.181381,121.688934,17630.25,370,6651.45
983,31.181485,121.520026,78750.33333333333,714,9480.4
984,31.18158,121.295188,0.3333333333333333,1,0.3333333333333333
985,31.181629,121.510713,296.3666666666667,16,276.6
986,31.181785,121.529159,27412.35,317,7528.1
987,31.182032,121.388195,14.483333333333333,2,14.483333333333333
988,31.182122,121.377455,389.1166666666667,13,339.21666666666664
989,31.182189,121.394088,24511.916666666668,429,6783.2
990,31.182198,121.390214,23154.833333333332,249,5316.683333333333
991,31.1823,121.394288,179.83333333333334,1,179.83333333333334
992,31.182371,121.526439,13840.183333333332,284,6636.933333333333
993,31.182415,121.381272,35568.95,473,8604.383333333333
994,31.182483,121.5762,35092.01666666667,456,8930.066666666668
995,31.182633,121.439015,658.5166666666667,30,637.3333333333334
996,31.182725,121.41492,75193.16666666667,605,7433.1
997,31.183039,121.434356,6.983333333333333,1,6.983333333333333
998,31.183064,121.407773,6361.533333333334,80,2721.0666666666666
999,31.183323,121.447822,60746.85,692,9250.866666666667
1000,31.183857,121.637321,164910.21666666667,902,14277.95
1001,31.183859,121.415119,23.333333333333332,9,12.983333333333333
1002,31.184319,121.230946,73495.5,612,10493.05
1003,31.184327,121.381012,260.96666666666664,3,130.48333333333332
1004,31.184347,121.441392,1842.1,61,1046.0833333333333
1005,31.184426,121.15811,3415.0333333333333,108,2462.9166666666665
1006,31.18458,121.420921,496.46666666666664,24,336.4
1007,31.184752,121.387556,359.3,2,179.65
1008,31.184883,121.430689,2568.25,52,1928.9333333333334
1009,31.184888,121.510295,92110.81666666667,545,10051.25
1010,31.184951,121.409317,966.8166666666667,78,896.6333333333333
1011,31.184979,121.31046,9625.366666666667,112,5242.65
1012,31.185044,121.414303,849.7333333333333,104,849.7333333333333
1013,31.185065,121.503655,3303.0333333333333,48,1628.9666666666667
1014,31.185126,121.451633,2091.4333333333334,84,2091.4333333333334
1015,31.185189,121.445449,1756.0666666666666,25,977.45
1016,31.185228,121.1697,9036.7,142,4879.6
1017,31.185812,121.457923,15224.8,224,6224.466666666666
1018,31.186057,121.44872,103.08333333333333,4,103.08333333333333
1019,31.186176,121.53911,805.45,17,629.6333333333333
1020,31.186202,121.54793,907.85,12,613.1333333333333
1021,31.186411,121.402496,496.25,7,249.96666666666667
1022,31.186465,121.429887,57800.6,397,7932.266666666666
1023,31.186628,121.372116,17221.85,249,5981.05
1024,31.186698,121.44855,312.1166666666667,22,212.46666666666667
1025,31.18674,121.380533,298.6333333333333,6,268.6166666666667
1026,31.18713,121.451332,12864.05,144,5734.333333333333
1027,31.187254,121.536259,74660.86666666667,579,10487.95
1028,31.187384,121.470686,78.56666666666666,5,77.56666666666666
1029,31.187492,121.452395,27.333333333333332,1,27.333333333333332
1030,31.187712,121.432106,71.96666666666667,6,49.21666666666667
1031,31.187829,121.452956,2.55,2,2.55
1032,31.187859,121.444801,1240.8833333333334,25,937.4666666666667
1033,31.188068,121.699562,466.0,13,353.3333333333333
1034,31.188145,121.432275,7305.2,61,3940.5
1035,31.188183,121.440258,3.066666666666667,2,1.5333333333333334
1036,31.188258,121.301297,544.5,27,282.65
1037,31.188332,121.405187,51.7,1,51.7
1038,31.18851,121.403115,1830.3333333333333,57,1615.6666666666667
1039,31.188512,121.437591,2868.7833333333333,58,1735.65
1040,31.188514,121.49841,2256.5833333333335,53,1483.9666666666667
1041,31.188696,121.181232,26616.733333333334,184,6517.616666666667
1042,31.188821,121.387044,19426.35,315,8314.166666666666
1043,31.188877,121.43412,1498.3,55,903.5333333333333
1044,31.189,121.431937,37.05,2,37.05
1045,31.189335,121.781953,26284.083333333332,275,7039.766666666666
